erd_id,resin_name,sculptor,scale
852,Magnus (mini),Kristina Lucas Francis,Stablemate (1:32)
855,Odin's Son,Brigitte Eberl,Traditional (1:9)
858,Thoroughbred Stallion (Donaldson),Rob Donaldson,Traditional (1:9)
859,April Meridian-filly,Laura Behning,Classic (1:12)
860,Highland Heather,Hilary Hurley,Stablemate (1:32)
868,Black Horse Ranch Reining Horse,Black Horse Ranch,Traditional (1:9)
869,Black Horse Ranch Action Stallion,Black Horse Ranch,Traditional (1:9)
870,Black Horse Ranch Percheron,Black Horse Ranch,Classic (1:12)
871,Black Horse Ranch Peruvian Paso,Kitty Cantrell,Traditional (1:9)
872,Black Horse Ranch Shetland,Black Horse Ranch,Traditional (1:9)
873,Black Horse Ranch Saddlebred,Black Horse Ranch,Traditional (1:9)
874,Black Horse Ranch Clydesdale,Kitty Cantrell,Traditional (1:9)
875,Black Horse Ranch Arabian Stallion (walking),Keren Gilfoyle-McGroarty,Traditional (1:9)
876,Black Horse Ranch Maid Mare-ian,Black Horse Ranch,Traditional (1:9)
878,Black Horse Ranch Weanling,Black Horse Ranch,Traditional (1:9)
880,Angelica,Sheri Rhodes,Traditional (1:9)
881,Sedona,Carol Gasper,Traditional (1:9)
885,Leo's Migo,Maren Landschoof,Traditional (1:9)
886,Rising Hopes,Nanse  Czipri  Browne,Unknown
888,Wildfire,Stacey Tumlinson,Traditional (1:9)
890,HA Estada,Gudrun Schmitt,Traditional (1:9)
891,HA Bonito,Gudrun Schmitt,Traditional (1:9)
892,Constance,Sanne Winther,Traditional (1:9)
893,Kelly's Irish Genius,Gertrude Caulfield,Unknown
894,HA Aragon,Heike Polster,Traditional (1:9)
895,HA Maverick,Kristin Berkery,Stablemate (1:32)
896,AA Dartmoor Pony,Donna Chaney,Classic (1:12)
898,Raspberry,Kitty Cantrell,Unknown
899,Dun Did Damien,Tiffany Hoffman-Purdy,Traditional (1:9)
900,AA Hackney Stallion,Donna Chaney,Traditional (1:9)
901,Gravity,Lori Daniels,Stablemate (1:32)
902,HA Misty Dawn,Rob Donaldson,Stablemate (1:32)
903,TX Tornado,Darian Buckles,Stablemate (1:32)
904,Molly Malone,Laurie Jo Jensen,Stablemate (1:32)
906,SCC Flower,Darian Buckles,Stablemate (1:32)
907,Gremlin,Lisa Rivera Shepard,Stablemate (1:32)
908,AZ Phantasm,Darian Buckles,Stablemate (1:32)
910,AA Sabiha,Donna Chaney,Unknown
911,AA SE mini trotting Arabian Stallion,Donna Chaney,Stablemate (1:32)
925,AA Dauntless (hairy),Donna Chaney,Stablemate (1:32)
928,North Light Welsh Mountain Sec A,Guy Pocock/Anne Godfrey,Large Classic
